ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
37,NORTH CAROLINA,NC,Person,37145,"Person County, North Carolina",392.3342793,39305,0,18428,55,15744,348,6836,961,1703,342,25922,1215,3813,402,7227,58,8365,19,7291,617,1559,242,13217,22,243,137,157,90,4173,419,430,153,1234,325,521,119,17.7,2.5,8.6,1.7,25922.0,1215.0,13.7,1.4,18.4,0.1,21.3,0.0,18.8,1.6,9.9,1.5,33.6,0.1,0.7,0.4,0.9,0.5,22.6,2.3,2.7,1.0,7.8,2.1,1.3,0.3,0.5758,0.7677,0.3636,0.3535,2.0606,0.5556,0.4545,0.4949,0.7273,0.6667,2.3434,0.7778,0.5253,0.1818,0.7071,0.2828,0.1616,0.6364,0.7677,0.7475,0.2626,2.5758,0.5455,7.6869,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3572,513,9.2,1.3,30914
37,NORTH CAROLINA,NC,Harnett,37085,"Harnett County, North Carolina",595.0260374,130361,0,51230,137,45086,522,21495,1590,4338,514,23011,516,11435,655,15414,33,34765,13,16689,778,4762,364,49831,157,2210,382,629,104,11099,541,1054,199,2431,262,3241,340,17.0,1.3,7.9,0.9,23011.0,516.0,13.7,0.8,11.8,0.1,26.7,0.0,13.4,0.6,10.6,0.8,38.2,0.1,1.8,0.3,1.2,0.2,21.7,1.1,2.3,0.4,5.4,0.6,2.5,0.3,0.5152,0.6768,0.6768,0.3535,2.2223,0.6061,0.0505,0.9798,0.1212,0.7677,1.9192,0.4444,0.6263,0.6465,1.2728,0.7172,0.2424,0.5657,0.5051,0.4242,0.5859,2.3233,0.4242,7.7376,0.6061,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,14086,801,11.3,0.6,98822
37,NORTH CAROLINA,NC,Rowan,37159,"Rowan County, North Carolina",511.4783245,139605,0,61329,221,52301,829,22386,1925,5106,509,25117,754,14118,970,23456,117,31464,0,21389,948,5051,563,38547,90,2758,434,2454,322,10115,603,1206,251,3023,399,4380,537,16.5,1.4,7.7,0.8,25117.0,754.0,14.7,1.0,16.8,0.1,22.5,0.0,15.6,0.7,9.7,1.1,27.6,0.1,2.1,0.3,4.0,0.5,16.5,1.0,2.3,0.5,5.8,0.7,3.1,0.4,0.4545,0.6465,0.4242,0.4646,1.9898,0.5152,0.2828,0.697,0.3131,0.6162,1.9091,0.4343,0.4646,0.7071,1.1717,0.6061,0.7576,0.3333,0.5051,0.4848,0.6768,2.7576,0.6768,7.8282,0.6162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16794,1133,12.2,0.8,125897
37,NORTH CAROLINA,NC,Surry,37171,"Surry County, North Carolina",533.7419472,72099,0,34030,90,28985,458,11978,1055,1422,229,23957,1012,10995,677,14189,110,15603,0,14444,809,1754,224,11381,27,1347,310,863,148,8366,541,672,160,1965,232,1005,219,16.9,1.5,4.4,0.7,23957.0,1012.0,21.7,1.3,19.7,0.2,21.6,0.0,20.3,1.1,6.1,0.8,15.8,0.0,2.0,0.5,2.5,0.4,24.6,1.6,2.3,0.6,6.8,0.8,1.4,0.3,0.5051,0.0606,0.5556,0.9192,2.0405,0.5455,0.6364,0.5455,0.8283,0.1515,2.1617,0.6667,0.2525,0.6768,0.9293,0.4545,0.5556,0.7172,0.5051,0.6162,0.3131,2.7072,0.6364,7.8387,0.6263,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9132,788,12.8,1.1,69830
37,NORTH CAROLINA,NC,Martin,37117,"Martin County, North Carolina",456.4247503,23054,0,11608,52,9471,306,4172,548,1134,284,23269,1889,2767,281,5030,64,4775,35,4436,403,997,201,11051,17,114,100,84,72,2532,325,73,62,703,194,145,56,18.2,2.4,10.9,2.7,23269.0,1889.0,16.7,1.7,21.8,0.3,20.7,0.2,19.4,1.7,10.5,2.1,47.9,0.1,0.5,0.5,0.7,0.6,21.8,2.8,0.8,0.7,7.4,2.0,0.6,0.2,0.6364,0.9495,0.6465,0.6263,2.8587,0.7576,0.7677,0.404,0.7576,0.7374,2.6667,0.899,0.7778,0.0808,0.8586,0.404,0.1313,0.5758,0.0303,0.6869,0.0505,1.4748,0.0909,7.8588,0.6364,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2389,411,10.4,1.8,21111
37,NORTH CAROLINA,NC,Craven,37049,"Craven County, North Carolina",706.5964617,103082,0,46911,324,40871,625,14915,1695,3513,567,28007,872,7957,589,18543,116,22768,69,15960,860,3657,425,35120,61,2195,455,2307,322,6393,524,946,215,2756,361,5081,714,15.3,1.7,8.0,1.2,28007.0,872.0,11.8,0.9,18.0,0.1,22.1,0.1,16.8,0.9,8.9,1.0,34.1,0.1,2.3,0.5,4.9,0.7,13.6,1.1,2.3,0.5,6.7,0.9,4.9,0.7,0.3333,0.7172,0.2323,0.2626,1.5454,0.3535,0.4444,0.6162,0.4949,0.5253,2.0808,0.6162,0.5455,0.7677,1.3132,0.7576,0.8182,0.1818,0.5051,0.6061,0.8182,2.9294,0.7172,7.8688,0.6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10882,1067,11.4,1.1,99325
37,NORTH CAROLINA,NC,McDowell,37111,"McDowell County, North Carolina",439.9545521,45109,0,21297,109,17961,434,7543,1156,1143,267,22725,1333,5283,555,8795,104,9276,33,9348,759,1608,259,5647,253,502,214,248,84,6643,482,488,154,1041,229,1131,241,17.1,2.6,5.8,1.4,22725.0,1333.0,16.2,1.7,19.5,0.2,20.6,0.1,21.1,1.7,9.0,1.4,12.5,0.6,1.2,0.5,1.2,0.4,31.2,2.2,2.7,0.9,5.8,1.3,2.5,0.5,0.5253,0.2828,0.7273,0.5859,2.1213,0.5758,0.6162,0.3636,0.899,0.5455,2.4243,0.8283,0.1414,0.404,0.5454,0.1818,0.2424,0.8889,0.7677,0.4848,0.5859,2.9697,0.7475,8.0607,0.6566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5045,607,11.4,1.4,40141
37,NORTH CAROLINA,NC,Pitt,37147,"Pitt County, North Carolina",652.3656987,177372,0,78563,164,69169,777,40737,2281,8444,885,25722,689,11323,683,21939,125,38485,0,22494,1136,7268,674,80373,529,2217,427,11317,1014,9528,699,1591,289,5542,574,6597,372,23.9,1.3,9.2,0.9,25722.0,689.0,10.6,0.6,12.4,0.1,21.7,0.0,12.8,0.6,10.5,1.0,45.3,0.3,1.3,0.3,14.4,1.3,12.1,0.9,2.3,0.4,8.0,0.8,3.7,0.2,0.8687,0.8586,0.3939,0.1616,2.2828,0.6162,0.0808,0.596,0.101,0.7374,1.5152,0.101,0.7374,0.4343,1.1717,0.6061,0.9495,0.1414,0.5051,0.7778,0.7475,3.1213,0.8384,8.091,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,19292,1195,10.9,0.7,161454
37,NORTH CAROLINA,NC,Nash,37127,"Nash County, North Carolina",540.4423413,94003,0,42876,162,36720,529,14269,1441,2892,502,26980,969,9439,689,16294,103,21019,0,15142,797,4022,491,46647,38,1206,344,1110,294,8242,563,1005,250,2907,375,2077,393,15.5,1.6,6.3,1.1,26980.0,969.0,14.6,1.1,17.3,0.1,22.4,0.0,16.3,0.9,11.0,1.3,49.6,0.0,1.4,0.4,2.6,0.7,19.2,1.3,2.7,0.7,7.9,1.0,2.2,0.4,0.3535,0.404,0.2727,0.4444,1.4746,0.303,0.3838,0.6566,0.4444,0.8283,2.3131,0.7576,0.8182,0.4949,1.3131,0.7475,0.5859,0.4545,0.7677,0.7677,0.5455,3.1213,0.8384,8.2221,0.6768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9402,849,10.1,0.9,91606
37,NORTH CAROLINA,NC,Swain,37173,"Swain County, North Carolina",527.7282515,14254,0,8951,48,5443,270,2436,496,420,200,20984,1936,2141,298,2731,74,3196,0,2613,292,418,107,5386,19,35,78,46,31,2451,264,141,66,286,96,281,109,17.3,3.5,6.9,3.2,20984.0,1936.0,21.7,3.1,19.2,0.5,22.4,0.0,18.6,2.1,7.7,1.9,37.8,0.1,0.3,0.6,0.5,0.4,27.4,2.9,2.6,1.2,5.3,1.8,2.0,0.8,0.5354,0.5455,0.8384,0.9192,2.8385,0.7475,0.5657,0.6566,0.697,0.3333,2.2526,0.7374,0.6162,0.0404,0.6566,0.2525,0.0606,0.8586,0.7071,0.3838,0.5152,2.5253,0.5051,8.273,0.6869,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3031,424,21.5,3.0,17326
